Name,Link,License,Interactiveness,Sound,Animation
"Stylized treasure Chest","https://skfb.ly/6XxuK","Creative Commons Attribution","Not Interactive","No sound.","No Animation"
"Magic Lamp PS1","https://skfb.ly/oysWz","Creative Commons Attribution","Not Interactive","No sound.","No Animation"
"Market Props","https://skfb.ly/oxT7p","Creative Commons Attribution","The Fruits and Pots Can be Grabbed","NO sound","No Animation"
"Alchemist carpet","https://skfb.ly/orOoE","CC Attribution-NonCommercial-NoDerivs","Not interactive","No Sound","No Animation"
"Golden crown","https://skfb.ly/owVrF","Creative Commons Attribution","Not Interactive","No sound.","Spins"
"Arabic temple diorama","https://skfb.ly/o99yZ","Creative Commons Attribution","Not Interactive","No sound.","No Animation"
"Vintage chandelier (Object Capture)","https://skfb.ly/oowZN","Creative Commons Attribution","Can be Grabbed","No sound.","No Animation"
"Pot With Gold","https://skfb.ly/6ZuLI","Creative Commons Attribution","Not Interactive","No sound.","No Animation"
"Popcorn Bucket","https://skfb.ly/oz88A","Creative Commons Attribution","Not interace","The Model it self does not make any 3d sound","No Animation"
"Popcorn Machine","https://skfb.ly/ouGJy","Creative Commons Attribution","The Button on the Pop corn machine spawns a new pop corn buckets","Popcorn Popping Sound, Ding when the a new popcorn bucket is spawned","No Animation"
"É o Gênio de novo.","https://skfb.ly/6D8xS","Creative Commons Attribution","Not Interactive","No sound.","No Animation"
"Monkey- Free","https://skfb.ly/oxBwx","Creative Commons Attribution","Not Interactive","No Sound","Flips around"
"Victorian Two Seat Sofa","https://skfb.ly/6T9LO","Creative Commons Attribution","Not Interactive","No sound.","No Animation"